id;permalink;username;text;date;retweet;favorite;mentions;hashtag;geo
0;https://twitter.com/IndyLife/status/1223585455867858945;IndyLife;Gwyneth Paltrow's Goop condemned by head of NHS;2020-02-01 12:34:40+00:00;0;0;;;
1;https://twitter.com/IndyLife/status/1223577899632074753;IndyLife;WhatsApp is about to stop working – what are your alternatives?;2020-02-01 12:04:38+00:00;0;0;;;
2;https://twitter.com/IndyLife/status/1223571508297175041;IndyLife;Trump travel ban to include six more countries;2020-02-01 11:39:15+00:00;0;0;;;
3;https://twitter.com/IndyLife/status/1223565324462718976;IndyLife;"Brexit in 47 objects: From leaky mugs to salted caramel milkshake https://www.independent.co.uk/life-style/brexit-objects-history-art-fashion-boris-johnson-nigel-farage-theresa-may-a9312006.html?utm_term=Autofeed&amp;utm_medium=Social&amp;utm_source=Twitter#Echobox=1580499581";2020-02-01 11:14:40+00:00;0;0;;;
4;https://twitter.com/IndyLife/status/1223559152041152512;IndyLife;After the tragic death of Mike Thalassitis, there is no justification for Twitter users bringing back the cruel 'Muggy Mike' hashtag;2020-02-01 10:50:09+00:00;0;0;;;
5;https://twitter.com/IndyLife/status/1223553103984721920;IndyLife;Video about police helping teen girl living on her own goes viral;2020-02-01 10:26:07+00:00;0;0;;;
6;https://twitter.com/IndyLife/status/1223546649110372353;IndyLife;This is how travel to the EU will change from 2021;2020-02-01 10:00:28+00:00;0;0;;;
7;https://twitter.com/IndyLife/status/1223530823426678784;IndyLife;Dita Von Teese says she was ‘preyed upon’ as a teenager;2020-02-01 08:57:35+00:00;0;0;;;
8;https://twitter.com/IndyLife/status/1223508046598549505;IndyLife;Woman body-shamed over video of her being rescued from freezing water;2020-02-01 07:27:04+00:00;0;0;;;
9;https://twitter.com/IndyLife/status/1223395807895998465;IndyLife;"Video about police helping teen girl living on her own goes viral https://www.independent.co.uk/life-style/police-elgin-illinois-video-teenager-facebook-a9311846.html?utm_term=Autofeed&amp;utm_medium=Social&amp;utm_source=Twitter#Echobox=1580514842";2020-02-01 00:01:04+00:00;0;0;;;
10;https://twitter.com/IndyLife/status/1223392084469714949;IndyLife;When is the Brexit 50p coin launching and how do I get one?;2020-01-31 23:46:17+00:00;0;0;;;
11;https://twitter.com/IndyLife/status/1223384412194250753;IndyLife;"Woman body-shamed over video of her being rescued from freezing water https://www.independent.co.uk/life-style/body-shaming-water-rescue-freezing-sheriffs-michigan-korisa-miller-a9311586.html?utm_term=Autofeed&amp;utm_medium=Social&amp;utm_source=Twitter#Echobox=1580489899";2020-01-31 23:15:47+00:00;0;0;;;
12;https://twitter.com/IndyLife/status/1223375647285940227;IndyLife;Do they work or are there better ways to keep safe?;2020-01-31 22:40:58+00:00;1;0;;;
13;https://twitter.com/IndyLife/status/1223363450916655104;IndyLife;Shaquille O'Neal buys fan laptop who gave his condolences over Kobe Bryant's death;2020-01-31 21:52:30+00:00;0;0;;;
14;https://twitter.com/IndyLife/status/1223356780266299394;IndyLife;Three-year-old's viral song about dinosaurs to be released as a charity single;2020-01-31 21:25:59+00:00;0;0;;;
15;https://twitter.com/IndyLife/status/1223349232968642565;IndyLife;"Trump travel ban to include six more countries https://www.independent.co.uk/news/world/americas/us-politics/trump-travel-ban-countries-muslim-africa-us-immigration-a9312281.html?utm_term=Autofeed&amp;utm_medium=Social&amp;utm_source=Twitter#Echobox=1580503141";2020-01-31 20:56:00+00:00;1;0;;;
16;https://twitter.com/IndyLife/status/1223342797295640579;IndyLife;EU votes to force all phones to use the same charger;2020-01-31 20:30:26+00:00;0;0;;;
17;https://twitter.com/IndyLife/status/1223336198418112512;IndyLife;The language of love: where do terms like ghosting and cuffing come from?;2020-01-31 20:04:12+00:00;0;0;;;
18;https://twitter.com/IndyLife/status/1223329792809996289;IndyLife;"EU votes to force all phones to use the same charger https://www.independent.co.uk/life-style/gadgets-and-tech/news/iphone-charger-single-usb-android-eu-parliament-europe-vote-a9311696.html?utm_term=Autofeed&amp;utm_medium=Social&amp;utm_source=Twitter#Echobox=1580487793";2020-01-31 19:38:45+00:00;0;0;;;
19;https://twitter.com/IndyLife/status/1223323466679701504;IndyLife;Public transport is showing solidarity with Remainers on Brexit Day;2020-01-31 19:13:37+00:00;1;1;;;
20;https://twitter.com/IndyLife/status/1223317012870520832;IndyLife;"Brexit in 47 objects: From leaky mugs to salted caramel milkshake https://www.independent.co.uk/life-style/brexit-objects-history-art-fashion-boris-johnson-nigel-farage-theresa-may-a9312006.html?utm_medium=Social&amp;utm_source=Twitter#Echobox=1580496477";2020-01-31 18:47:58+00:00;0;0;;;
21;https://twitter.com/IndyLife/status/1223313209794404353;IndyLife;Coronavirus social media influencers are now a thing;2020-01-31 18:32:51+00:00;0;0;;;
22;https://twitter.com/IndyLife/status/1223307012055932933;IndyLife;WhatsApp is about to stop working on millions of phones;2020-01-31 18:08:14+00:00;0;0;;;
23;https://twitter.com/IndyLife/status/1223302585064525826;IndyLife;After the tragic death of Mike Thalassitis, there is no justification for Twitter users bringing back the cruel 'Muggy Mike' hashtag;2020-01-31 17:50:38+00:00;0;0;;;
24;https://twitter.com/IndyLife/status/1223300329137197056;IndyLife;WhatsApp is about to stop working – what are your alternatives?;2020-01-31 17:41:40+00:00;0;0;;;
25;https://twitter.com/IndyLife/status/1223294115519090688;IndyLife;"WhatsApp is about to stop working on millions of phones https://www.independent.co.uk/life-style/gadgets-and-tech/news/whatsapp-update-latest-iphone-android-when-2020-a9310941.html?utm_term=Autofeed&amp;utm_medium=Social&amp;utm_source=Twitter#Echobox=1580474133";2020-01-31 17:16:59+00:00;0;0;;;
26;https://twitter.com/IndyLife/status/1223287866505252864;IndyLife;Jewish couple kicked off flight for ‘body odour’ sues airline for discrimination;2020-01-31 16:52:09+00:00;0;0;;;
27;https://twitter.com/IndyLife/status/1223281195741536257;IndyLife;Tan France cosplays as Ariana Grande to promote new Netflix show;2020-01-31 16:25:39+00:00;0;0;;;
28;https://twitter.com/IndyLife/status/1223277608214966278;IndyLife;20 of the best fashion pieces to buy on the high street this month;2020-01-31 16:11:23+00:00;0;0;;;
29;https://twitter.com/IndyLife/status/1223276589623934976;IndyLife;Dita Von Teese says she was ‘preyed upon’ as a teenager;2020-01-31 16:07:21+00:00;0;1;;;
30;https://twitter.com/IndyLife/status/1223273960558809089;IndyLife;"Jewish couple kicked off flight for ‘body odour’ sues airline for discrimination https://www.independent.co.uk/travel/news-and-advice/american-airlines-jewish-couple-sue-body-odour-smell-flight-discrimination-a9310781.html?utm_term=Autofeed&amp;utm_medium=Social&amp;utm_source=Twitter#Echobox=1580469731";2020-01-31 15:56:54+00:00;0;0;;;
31;https://twitter.com/IndyLife/status/1223267690388783107;IndyLife;Vest worn by King Charles I for execution to go on display at museum;2020-01-31 15:31:59+00:00;0;0;;;
32;https://twitter.com/IndyLife/status/1223261402929954818;IndyLife;Demi Lovato describes the moment she came out to her parents;2020-01-31 15:07:00+00:00;0;0;;;
33;https://twitter.com/IndyLife/status/1223253141921157120;IndyLife;Do they work or are there better ways to keep safe?;2020-01-31 14:34:10+00:00;0;0;;;
34;https://twitter.com/IndyLife/status/1223235072045785088;IndyLife;Jennifer Lopez says Kobe Bryant’s death ‘will affect us forever’;2020-01-31 13:22:22+00:00;0;0;;;
35;https://twitter.com/IndyLife/status/1223227661654351872;IndyLife;Three-year-old's viral song about dinosaurs to be released as a charity single;2020-01-31 12:52:55+00:00;0;0;;;
36;https://twitter.com/IndyLife/status/1223225615672803328;IndyLife;Giving some pregnant women progesterone hormone ‘could prevent more than 8,000 miscarriages a year’;2020-01-31 12:44:47+00:00;0;0;;;
37;https://twitter.com/IndyLife/status/1223223683986206720;IndyLife;Robot serves food to people in coronavirus quarantine;2020-01-31 12:37:07+00:00;0;0;;;
38;https://twitter.com/IndyLife/status/1223215901895462912;IndyLife;Coronavirus social media influencers are now a thing https://www.independent.co.uk/life-style/coronavirus-instagram-influencer-hashtag-likes-outbreak-china-logan-paul-a9310906.html;2020-01-31 12:06:11+00:00;0;0;;;
39;https://twitter.com/IndyLife/status/1223206960985780224;IndyLife;Emma Watson and Idris Elba among 2,000 supporters of letter urging world leaders to ‘tackle emergency facing people and planet’;2020-01-31 11:30:40+00:00;0;0;;;
40;https://twitter.com/IndyLife/status/1223205317355417600;IndyLife;Tan France cosplays as Ariana Grande to promote new Netflix show;2020-01-31 11:24:08+00:00;0;0;;;
41;https://twitter.com/IndyLife/status/1223189753656463362;IndyLife;The Bafta Awards 2020 is trying to become carbon neutral;2020-01-31 10:22:17+00:00;0;0;;;
42;https://twitter.com/IndyLife/status/1223189190701199360;IndyLife;Gymnast Aly Raisman speaks about finding ‘magic’ in life after experiencing assault;2020-01-31 10:20:03+00:00;0;0;;;
43;https://twitter.com/IndyLife/status/1223188057735815169;IndyLife;This is how travel to the EU will change from 2021;2020-01-31 10:15:33+00:00;0;0;;;
44;https://twitter.com/IndyLife/status/1223182171575390214;IndyLife;The Beijing gallery making sure gay art persists in China;2020-01-31 09:52:09+00:00;0;0;;;
45;https://twitter.com/IndyLife/status/1223170524966158336;IndyLife;Vest worn by King Charles I for execution to go on display at museum;2020-01-31 09:05:53+00:00;0;0;;;
46;https://twitter.com/IndyLife/status/1223157652999589889;IndyLife;Demi Lovato describes the moment she came out to her parents;2020-01-31 08:14:44+00:00;0;0;;;
47;https://twitter.com/IndyLife/status/1223156900373639168;IndyLife;Jennifer Lopez says Kobe Bryant’s death ‘will affect us forever’;2020-01-31 08:11:44+00:00;0;0;;;
48;https://twitter.com/IndyLife/status/1223120696370270209;IndyLife;Beyoncè pays tribute to Kobe Bryant and Gianna on Instagram;2020-01-31 05:47:53+00:00;0;0;;;
49;https://twitter.com/IndyLife/status/1223030894488965120;IndyLife;What is ‘the ick’ and how does it develop? Experts give us the lowdown;2020-01-30 23:51:02+00:00;0;0;;;
50;https://twitter.com/IndyLife/status/1223025699306528774;IndyLife;Twitter starts directing people to official websites about coronavirus amid false rumours and lies;2020-01-30 23:30:24+00:00;0;0;;;
51;https://twitter.com/IndyLife/status/1223009742018228225;IndyLife;Apple rolls out entirely new maps across the US;2020-01-30 22:26:59+00:00;0;0;;;
52;https://twitter.com/IndyLife/status/1223003610734366720;IndyLife;Prince Harry has ‘suffered a lot' and 'wants a normal life', says friend;2020-01-30 22:02:37+00:00;0;0;;;
53;https://twitter.com/IndyLife/status/1222997865976471552;IndyLife;Cruise ship with 6,000 passengers on lockdown over coronavirus fears;2020-01-30 21:39:48+00:00;0;0;;;
54;https://twitter.com/IndyLife/status/1222992660773900288;IndyLife;Gwyneth Paltrow's Goop condemned by head of NHS;2020-01-30 21:19:07+00:00;0;0;;;
55;https://twitter.com/IndyLife/status/1222988480868950016;IndyLife;Plane makes emergency landing after woman threatens to blow herself up;2020-01-30 21:02:30+00:00;0;0;;;
56;https://twitter.com/IndyLife/status/1222983441702100992;IndyLife;Ozzy Osbourne says he doesn't have 'much longer' but isn't afraid of death;2020-01-30 20:42:29+00:00;0;0;;;
57;https://twitter.com/IndyLife/status/1222978245987119106;IndyLife;How to spend the ultimate weekend in Kaunas, Lithuania’s arty second city;2020-01-30 20:21:50+00:00;1;2;;;
58;https://twitter.com/IndyLife/status/1222973019691397121;IndyLife;This Italian city is selling homes for €1;2020-01-30 20:01:04+00:00;0;0;;;
59;https://twitter.com/IndyLife/status/1222967792405794817;IndyLife;What it’s like to take part in a psychedelic retreat;2020-01-30 19:40:18+00:00;0;0;;;
60;https://twitter.com/IndyLife/status/1222962939071729664;IndyLife;Why you shouldn't cancel your holiday to Asia over coronavirus fears;2020-01-30 19:21:00+00:00;0;0;;;
61;https://twitter.com/IndyLife/status/1222958334548041731;IndyLife;Ozzy Osbourne says he doesn't have 'much longer' but isn't afraid of death;2020-01-30 19:02:43+00:00;0;2;;;
62;https://twitter.com/IndyLife/status/1222953682486136833;IndyLife;Apple is about to release a host of new products like none it has made before, report claims;2020-01-30 18:44:13+00:00;0;0;;;
63;https://twitter.com/IndyLife/status/1222948989860970497;IndyLife;Cruise ship with 6,000 passengers on lockdown over coronavirus fears;2020-01-30 18:25:35+00:00;0;0;;;
