id;permalink;username;text;date;retweet;favorite;mentions;hashtag;geo
0;https://twitter.com/BBCPolitics/status/1223649761280122880;BBCPolitics;"""What a fantastic day"" Brexit campaigner Mandy Childs came down to London to celebrate leaving the EU at a party in Parliament Square http://bbc.in/3b1CrRd";2020-02-01 16:50:12+00:00;61;290;;;
1;https://twitter.com/BBCPolitics/status/1223594506739765248;BBCPolitics;"Brexit’s finally happened. What do you make of it? What does it say about UK’s place in the world? Plus, should HS2 and so-called smart motorways be scrapped? Join @ChrisMasonBBC &amp; guests on Any Questions — BBC Sounds or whenever you get your podcasts";2020-02-01 13:10:38+00:00;20;83;@ChrisMasonBBC;;
2;https://twitter.com/BBCPolitics/status/1223588653441654785;BBCPolitics;Brexit: Macron 'deeply sad' as UK leaves the European Union;2020-02-01 12:47:22+00:00;20;67;;;
3;https://twitter.com/BBCPolitics/status/1223563406956953601;BBCPolitics;"Pascal Lamy right hand man to former EU Commission President Jacques Delors on Boris Johnson in Brussels ""We did not spot the formidable grenade he was putting in the game nor did our British colleagues -we overlooked the enterprise he had embarked on"" #WeekinWestminster";2020-02-01 11:07:03+00:00;12;22;;#WeekinWestminster;
4;https://twitter.com/BBCPolitics/status/1223562661490806784;BBCPolitics;"Pascal Lamy former right hand man to European Commission President Jacques Delors says ""All trade negotiations so far are removing obstacles to trade-what the Brits are trying to do is de-level the playing filed and create obstacles to trade"" #WeekinWestminster";2020-02-01 11:04:05+00:00;26;36;;#WeekinWestminster;
5;https://twitter.com/BBCPolitics/status/1223539788965388288;BBCPolitics;More on this from @adamfleming...;2020-02-01 09:33:12+00:00;3;18;@adamfleming;;
6;https://twitter.com/BBCPolitics/status/1223538719292116992;BBCPolitics;But fear not! #Brexitcast returns next week as 'Newscast'. We'll be in the same podcast feed and in the same TV slot.... and of course we'll be talking about Brexit.;2020-02-01 09:28:57+00:00;8;36;;#Brexitcast;
7;https://twitter.com/BBCPolitics/status/1223536480351662083;BBCPolitics; THE FINAL EPISODE OF #BREXITCAST IS HERE! 159 episodes and 18 millions downloads later, the thing we've been wanging on about for two and a half years on this podcast actually happened.;2020-02-01 09:20:03+00:00;54;196;;#BREXITCAST;
8;https://twitter.com/BBCPolitics/status/1223516607772864512;BBCPolitics;What will change in the UK after Brexit? https://bbc.in/2Ois81j;2020-02-01 08:01:05+00:00;128;279;;;
9;https://twitter.com/BBCPolitics/status/1223414817844801538;BBCPolitics;Profumo scandal evidence still secret in 'cover-up';2020-02-01 01:16:37+00:00;22;32;;;
10;https://twitter.com/BBCPolitics/status/1223397533856206849;BBCPolitics;Brexit's happened... so what now?;2020-02-01 00:07:56+00:00;29;98;;;
11;https://twitter.com/BBCPolitics/status/1223362372880019458;BBCPolitics;What are young people talking about on #BrexitDay? Here's 100 voice notes about leaving the EU from #TheNextEpisode podcast all set to music a mix from @bbcintroducing’s @jaguarworldwide Listen on @bbcsounds;2020-01-31 21:48:13+00:00;20;42;@bbcintroducing @JaguarWorldwide @BBCSounds;#BrexitDay #TheNextEpisode;
12;https://twitter.com/BBCPolitics/status/1223360876641689600;BBCPolitics;Missed Any Questions on @BBCRadio4? Never fear, the podcast is here? Join @chrismasonBBC for #bbcaq in Birmingham on Brexit night! ;2020-01-31 21:42:16+00:00;2;16;@BBCRadio4 @ChrisMasonBBC;#bbcaq;
13;https://twitter.com/BBCPolitics/status/1223324010001375234;BBCPolitics;Brexit: Farewell events as UK counts down to 23:00 GMT;2020-01-31 19:15:46+00:00;80;139;;;
