id;permalink;username;text;date;retweet;favorite;mentions;hashtag;geo
0;https://twitter.com/Eurosport/status/1207239724781453312;Eurosport;Eurosport to deliver world-class winter sports action in Ultra HD in Germany, Austria and Russia https://bit.ly/34A0rGq;2019-12-18 10:02:34+00:00;2;3;;;
1;https://twitter.com/Eurosport/status/1197092217472606209;Eurosport;From alpine skiing to cross-country, biathlon to snowboarding and Nordic Combined to ski jumping, Eurosport and Eurosport Player is the only place to watch over 1,000 hours of world-class live winter sports action during the 2019-20 season. ;2019-11-20 10:00:00+00:00;16;15;;;
2;https://twitter.com/Eurosport/status/1178945603562168321;Eurosport;"Discovery is delighted to welcome Andrew Georgiou, who begins his role as President, Eurosport and Global Sports Rights &amp; Sports Marketing Services today. https://bit.ly/2XAEAiM";2019-10-01 08:11:50+00:00;6;10;;;
3;https://twitter.com/Eurosport/status/1171732578614816768;Eurosport;Eurosport agress deal with @gaisf_sport to screen the @WorldUrbanGames finals across Europe https://bit.ly/2mcHOrR;2019-09-11 10:29:51+00:00;0;6;@gaisf_sport @WorldUrbanGames;;
4;https://twitter.com/Eurosport/status/1171349885704187904;Eurosport;In this newly created role, Mike will lead Eurosport’s commercial sales organisation and help execute a strategy that leverages @DiscoveryIncTV's premium sports portfolio, to create unique solutions for marketers and advertisers around the world. ;2019-09-10 09:09:10+00:00;0;1;@DiscoveryIncTV;;
5;https://twitter.com/Eurosport/status/1171349443570032640;Eurosport;.@DiscoveryIncTV today announces the appointment of Mike Rich as Head of Sports Marketing Solutions, with oversight of Eurosport advertising sales. Read the announcement in full here: http://tiny.cc/MikeRich;2019-09-10 09:07:24+00:00;1;3;@DiscoveryIncTV;;
6;https://twitter.com/Eurosport/status/1156478128098881536;Eurosport;Eurosport seals @SAMBOFIAS partnership to showcase the martial arts sport in up to 65 countries across Europe and Asia-Pacific. Full story: http://tiny.cc/EurosportSAMBO;2019-07-31 08:14:06+00:00;2;3;@SAMBOFIAS;;
7;https://twitter.com/Eurosport/status/1153941520434769926;Eurosport;We're celebrating #1YearToGo until #Tokyo2020! Eurosport will be only place viewers in Europe can watch every minute of the greatest show on earth. Every sport, every athlete, and all 321 gold medal-winning moments LIVE! ;2019-07-24 08:14:32+00:00;17;17;;#1YearToGo #Tokyo2020;
8;https://twitter.com/Eurosport/status/1140915388890394624;Eurosport;Where are they now? Valentina Vezzali’s legend lives on Six-time Olympic gold medallist Valentina Vezzali dominated her sport and then went on to Italian Parliament. Now she’s training young fencers throughout the country. ;2019-06-18 09:33:20+00:00;1;3;;;
9;https://twitter.com/Eurosport/status/1123976129902186501;Eurosport;Today we wish happy birthday to double Olympic gold medalist and #Eurosport winter sports expert @TinaMaze. Have a wonderful day Tina.;2019-05-02 15:42:46+00:00;2;43;@TinaMaze;#Eurosport;
10;https://twitter.com/Eurosport/status/1102528359005851648;Eurosport;The winter sports trilogy comes to a thrilling end in Östersund, Sweden this March. Watch EVERY minute from the Biathlon World Championships 2019 LIVE on Eurosport and Eurosport Player from 6 March. ;2019-03-04 11:16:59+00:00;4;12;;;
11;https://twitter.com/Eurosport/status/1094586231231598595;Eurosport;When the greatest moments in sport happen, Eurosport is there. Our own @TinaMaze with on-the-spot reaction from @lindseyvonn following her incredible performance in today’s ladies downhill @Are2019;2019-02-10 13:17:48+00:00;93;555;@TinaMaze @lindseyvonn @Are2019;;
12;https://twitter.com/Eurosport/status/1094539151029030913;Eurosport;Today, we farewell a legend of sport. Thank you, @lindseyvonn. Check your local listings for coverage of today's ladies downhill from @Are2019 on Eurosport.;2019-02-10 10:10:43+00:00;11;70;@lindseyvonn @Are2019;;
13;https://twitter.com/Eurosport/status/1093863226985598976;Eurosport;Strengthening our global partnership with @Garmin, we are pleased to announce that Garmin users can now receive Eurosport’s breaking sports news on their compatible devices via the Eurosport CIQ app. Download the app here: https://bit.ly/2UKkAVS;2019-02-08 13:24:50+00:00;2;4;@Garmin;;
14;https://twitter.com/Eurosport/status/1092709414497185792;Eurosport;"Happy Birthday to us! Today, Eurosport celebrates its 30th birthday with a promise to ""continue to be a pioneer of the sport industry."" Read the full #Eurosport30 story here: https://bit.ly/2t9cIBm";2019-02-05 09:00:00+00:00;22;86;;#Eurosport30;
15;https://twitter.com/Eurosport/status/1091302999643824128;Eurosport;"Congratulations to @Eurosport_RU - who this week won TWO awards at the 10th edition of the prestigious Big Digit Awards in Moscow. Eurosport 1HD picked up the award for ""Best Sports Channel"" while Eurosport 4K received a special award for promoting Ultra HD content. ";2019-02-01 11:51:25+00:00;5;16;@Eurosport_RU;;
16;https://twitter.com/Eurosport/status/1090980094041051137;Eurosport;Eurosport and @DiscoveryIncTV are delighted to announce that we have been shortlisted in the Best Sports Broadcast (Single or Series) category in the @SportTechGroup Awards for our coverage of @pyeongchang2018 #YSTA19;2019-01-31 14:28:18+00:00;12;38;@DiscoveryIncTV @SportTechGroup @pyeongchang2018;#YSTA19;
17;https://twitter.com/Eurosport/status/1090586154141921280;Eurosport;Eurosport is thrilled to announce our German winter sports expert @sven_hannawald has been nominated for the #LaureusSportingMoment by the prestigious @LaureusSport. Vote for Sven as this year's #LaureusSportingMoment by heading to http://mylaureus.com;2019-01-30 12:22:55+00:00;22;100;@sven_hannawald @LaureusSport;#LaureusSportingMoment #LaureusSportingMoment;
18;https://twitter.com/Eurosport/status/1082927407508664321;Eurosport;Great news for cycling fans as the Play Sports Group joins the @DiscoveryIncTV family. The deal underpins Discovery’s ambition to build the #1 cycling media ecosystem worldwide. ;2019-01-09 09:09:48+00:00;4;7;@DiscoveryIncTV;;
19;https://twitter.com/Eurosport/status/1073602682781351936;Eurosport;Our Sports Explainer series continues with a look at the incredible winter sport of luge. Every World Cup and World Championship across all major winter sports are available to watch live or on-demand across Eurosport linear and digital platforms. ;2018-12-14 15:36:40+00:00;0;0;;;
20;https://twitter.com/Eurosport/status/1065558230544326656;Eurosport;Our SVP Technology and Operations, Gordon Castle, is taking part in a state of the nation panel at the Sport Tech Innovation Forum today. Follow @Broadcast_TECH for live updates. #SportsTech #SportsBiz – at Queen Elizabeth Olympic Park;2018-11-22 10:50:53+00:00;5;7;@Broadcast_TECH;#SportsTech #SportsBiz;
21;https://twitter.com/Eurosport/status/1059778811523424256;Eurosport;Discovery's EVP Technology and Operations, Simon Farnsworth, on stage at the International Federation Forum in Lausanne today discussing the future impact of 5G on sports broadcasting. Follow the #IFForum2018 via @sportaccord.;2018-11-06 12:05:33+00:00;6;16;@sportaccord;#IFForum2018;
22;https://twitter.com/Eurosport/status/1059452155785027584;Eurosport;Eurosport’s coverage of the 2018/2019 Winter Sport season will see every World Cup and World Championship across all major winter sports available for fans to watch live or on-demand on Eurosport and Eurosport Player. ;2018-11-05 14:27:32+00:00;14;28;;;
23;https://twitter.com/Eurosport/status/1059388012587573248;Eurosport;Chasing History with @lindseyvonn returns to headline Eurosport’s winter sports coverage. Fans will be given an access-all-areas pass to the final season of Vonn's professional career when the series returns to Eurosport screens this winter. https://bit.ly/2ALCBfg;2018-11-05 10:12:39+00:00;31;146;@lindseyvonn;;
24;https://twitter.com/Eurosport/status/1056137044647391232;Eurosport;The 2018/2019 Winter Season has begun, and all major winter sport World Cup events are available to watch on Eurosport and Eurosport Player. Watch @Longines and Eurosport's break down of the @fisalpine season as the action gets underway in Soelden.;2018-10-27 10:54:28+00:00;6;12;@Longines @fisalpine;;
25;https://twitter.com/Eurosport/status/1054331504418013184;Eurosport;Eurosport has been awarded the ‘Sport Merit Medal’ by the Royal Spanish Winter Sports Federation. The honour recognises Eurosport’s role in the promotion of Winter Sports in Spain, as well as its coverage of @pyeongchang2018.#Olympics;2018-10-22 11:19:53+00:00;8;14;@pyeongchang2018;#Olympics;
26;https://twitter.com/Eurosport/status/1050771121052762112;Eurosport;Happy birthday to six-time Olympic medalist, winter sports legend, and Eurosport’s lead ski analyst in the cube during PyeongChang 2018, @MillerBode.;2018-10-12 15:32:12+00:00;7;15;@MillerBode;;
27;https://twitter.com/Eurosport/status/1050006432836476928;Eurosport;Ahead of the last day of Judo competition at the @BuenosAires2018 @youtholympics, Eurosport's latest 'Sports Explainer' takes a deep dive into the Japanese martial art and Olympic sport. @IntJudoFed @Tokyo2020;2018-10-10 12:53:36+00:00;27;46;@BuenosAires2018 @youtholympics @IntJudoFed @Tokyo2020;;
28;https://twitter.com/Eurosport/status/1049585346579759104;Eurosport;.@DiscoveryIncTV and @Eurosport are shortlisted for best ‘On Screen Experience’ at @LeadersBiz Sports Awards for our coverage of the @pyeongchang2018 Winter Olympic Games. Relive the best moments from our inaugural coverage of the @Olympics before this evening's award ceremony.;2018-10-09 09:00:21+00:00;8;9;@DiscoveryIncTV @Eurosport @LeadersBiz @pyeongchang2018 @Olympics;;
29;https://twitter.com/Eurosport/status/1048590780426805248;Eurosport;How fans experience and engage with sport is constantly evolving. JB Perrette, @DiscoveryIncTV International CEO, has been speaking at #OlympismInAction about how sport can best serve fans in the future. Follow #UnitedBy and @Olympics for updates.;2018-10-06 15:08:18+00:00;9;13;@DiscoveryIncTV @Olympics;#OlympismInAction #UnitedBy;
30;https://twitter.com/Eurosport/status/1039787265931796480;Eurosport;Eurosport agrees partnership with @wrestling to bolster Olympic sport portfolio https://bit.ly/2x7nlGN;2018-09-12 08:06:17+00:00;1;6;@wrestling;;
31;https://twitter.com/Eurosport/status/1038092588111290368;Eurosport;After announcing a three-year agreement with the @IntJudoFed earlier this week, Eurosport takes a look of some of the weird and wonderful facts behind the sport of judo ;2018-09-07 15:52:14+00:00;2;12;@IntJudoFed;;
32;https://twitter.com/Eurosport/status/1027186836794429441;Eurosport;Eurosport gets you up close and personal with the biggest stars of the continent during the @Euro_Champs. Watch every gold medal moment from the greatest multi-sport event of the year LIVE on Eurosport and Eurosport Player. #EC2018 #TheMoment;2018-08-08 13:36:40+00:00;3;14;@Euro_Champs;#EC2018 #TheMoment;
33;https://twitter.com/Eurosport/status/1026447243434442752;Eurosport;.@EuroAthletics events get underway today at the inaugural @Euro_Champs. Watch every drama-filled moment from the greatest multi-sport event of the year LIVE anytime, anywhere on Eurosport Player via http://www.eurosport.com and the integrated Eurosport app. #TheMoment;2018-08-06 12:37:47+00:00;3;6;@EuroAthletics @Euro_Champs;#TheMoment;
34;https://twitter.com/Eurosport/status/1021692572316692480;Eurosport;With two years to go until the biggest multi-sport event of them all #Tokyo2020, the inaugural @Euro_Champs gets underway next week. 7 Sports, 188 events, 4500 athletes, watch every minute LIVE on Eurosport. ;2018-07-24 09:44:26+00:00;27;50;@Euro_Champs;#Tokyo2020;
35;https://twitter.com/Eurosport/status/1019868353731727360;Eurosport;You can watch every single minute of all 33 sports and 339 events on Eurosport! #Tokyo2020 #Olympics;2018-07-19 08:55:38+00:00;5;14;;#Tokyo2020 #Olympics;
36;https://twitter.com/Eurosport/status/1015161571234975744;Eurosport;"The biggest cycling race of the year gets underway tomorrow. Senior Vice President Sports Content &amp; Production at Eurosport, @Osmanbegovic, explains why Eurosport is the best place to watch every minute of the #TDF2018. Full story here: https://bit.ly/2zeGB9h #HomeOfCycling";2018-07-06 09:12:34+00:00;6;10;@Osmanbegovic;#TDF2018 #HomeOfCycling;
